AuthId 3
CostumeParts[22].BodySet "Standard"
CostumeParts[27].Geom "none"
CostumeParts[27].Tex1 "none"
CostumeParts[27].Tex2 "none"
CostumeParts[27].Region "Lower Body"
CostumeParts[27].BodySet "Tight"
Appearance[1].BodyType 1
Appearance[1].ColorSkin -16745025
Appearance[1].ConvertedScale 1
Appearance[1].BodyScale -3.10535
Appearance[1].BoneScale -1
Appearance[1].ShoulderScale -1
Appearance[1].ChestScale -1
Appearance[1].WaistScale -0.343441
Appearance[1].HipScale -1
Appearance[1].LegScale 7e-005
Appearance[1].HeadScales 9807394
Appearance[1].BrowScales 13148450
Appearance[1].CheekScales 1121317
Appearance[1].ChinScales 58596
Appearance[1].CraniumScales 10223688
Appearance[1].JawScales 15000774
Appearance[1].NoseScales 12878754
CostumeParts[30].Geom "Tight"
CostumeParts[30].Tex1 "tights"
CostumeParts[30].Tex2 "none"
CostumeParts[30].Color1 170
CostumeParts[30].Color2 170
CostumeParts[30].Region "Lower Body"
CostumeParts[30].BodySet "Tight"
CostumeParts[30].CostumeNum 1
CostumeParts[31].Geom "Tight"
CostumeParts[31].Tex1 "skin_tights"
CostumeParts[31].Tex2 "!Chest_V_Pattern_Shredded_01"
CostumeParts[31].Color1 170
CostumeParts[31].Color2 65023
CostumeParts[31].Region "Upper Body"
CostumeParts[31].BodySet "Tights/Skin"
CostumeParts[31].CostumeNum 1
CostumeParts[32].Geom "V_fem_Head.GEO/GEO_Head_V_Asym_Standard"
CostumeParts[32].Tex1 "!Face_Skin_V_Fem_Head_42"
CostumeParts[32].Tex2 "!V_Face_Mask_8"
CostumeParts[32].Color1 170
CostumeParts[32].Color2 65023
CostumeParts[32].Region "Head"
CostumeParts[32].BodySet "Standard"
CostumeParts[32].CostumeNum 1
CostumeParts[33].Geom "Tied"
CostumeParts[33].Tex1 "skin_tied_01a"
CostumeParts[33].Tex2 "skin_tied_01b"
CostumeParts[33].Color1 5723991
CostumeParts[33].Color2 65023
CostumeParts[33].Region "Upper Body"
CostumeParts[33].BodySet "Tights/Skin"
CostumeParts[33].CostumeNum 1
CostumeParts[34].Geom "Tied"
CostumeParts[34].Tex1 "skin_tied_01a"
CostumeParts[34].Tex2 "skin_tied_01b"
CostumeParts[34].Color1 5723991
CostumeParts[34].Color2 65023
CostumeParts[34].Region "Lower Body"
CostumeParts[34].BodySet "Tight"
CostumeParts[34].CostumeNum 1
CostumeParts[35].Geom "Tail_03"
CostumeParts[35].Tex1 "Tail_01a"
CostumeParts[35].Tex2 "Tail_01b"
CostumeParts[35].Color1 36052
CostumeParts[35].Color2 22015
CostumeParts[35].Region "Upper Body"
CostumeParts[35].BodySet "Tights/Skin"
CostumeParts[35].CostumeNum 1
CostumeParts[36].Geom "Spiky2"
CostumeParts[36].Tex1 "Style_01a"
CostumeParts[36].Tex2 "Style_01b"
CostumeParts[36].Color1 5045759
CostumeParts[36].Color2 22015
CostumeParts[36].Region "Head"
CostumeParts[36].BodySet "Standard"
CostumeParts[36].CostumeNum 1
CostumeParts[38].Geom "Horn_02"
CostumeParts[38].Tex1 "Horn_01a"
CostumeParts[38].Tex2 "Horn_01b"
CostumeParts[38].Color1 5045759
CostumeParts[38].Color2 4177663
CostumeParts[38].Region "Head"
CostumeParts[38].BodySet "Standard"
CostumeParts[38].CostumeNum 1
CostumeParts[39].Geom "Tight"
CostumeParts[39].Tex1 "base"
CostumeParts[39].Tex2 "Comet_02"
CostumeParts[39].Color1 5045759
CostumeParts[39].Color2 28842
CostumeParts[39].Region "Upper Body"
CostumeParts[39].BodySet "Tights/Skin"
CostumeParts[39].CostumeNum 1
CostumeParts[40].Geom "none"
CostumeParts[40].Tex1 "none"
CostumeParts[40].Tex2 "none"
CostumeParts[40].Region "Upper Body"
CostumeParts[40].BodySet "Tights/Skin"
CostumeParts[40].CostumeNum 1
CostumeParts[43].Geom "none"
CostumeParts[43].Tex1 "none"
CostumeParts[43].Tex2 "none"
CostumeParts[43].Region "Head"
CostumeParts[43].BodySet "Standard"
CostumeParts[43].CostumeNum 1
CostumeParts[48].Geom "none"
CostumeParts[48].Tex1 "none"
CostumeParts[48].Tex2 "none"
CostumeParts[48].FxName "Auras/Female/Fire/FireHair.fx"
CostumeParts[48].Color3 3954017
CostumeParts[48].Color4 12608355
CostumeParts[48].Region "Special"
CostumeParts[48].BodySet "Fiery"
CostumeParts[48].CostumeNum 1
CostumeParts[52].Geom "V_FEM_CRANIUM.GEO/GEO_Cranium_V_Pointy_Ears_04"
CostumeParts[52].Tex1 "!face_skin_v_head_06"
CostumeParts[52].Tex2 "none"
CostumeParts[52].Color1 36052
CostumeParts[52].Color2 65023
CostumeParts[52].Region "Head"
CostumeParts[52].BodySet "Standard"
CostumeParts[52].CostumeNum 1
CostumeParts[57].Geom "none"
CostumeParts[57].Tex1 "none"
CostumeParts[57].Tex2 "none"
CostumeParts[57].Region "Lower Body"
CostumeParts[57].BodySet "Tight"
CostumeParts[57].CostumeNum 1
Appearance[2].BodyType 1
Appearance[2].ColorSkin -16745025
Appearance[2].ConvertedScale 1
Appearance[2].BodyScale -3.10535
Appearance[2].BoneScale -1
Appearance[2].ShoulderScale -1
Appearance[2].ChestScale -1
Appearance[2].WaistScale -0.343441
Appearance[2].HipScale -1
Appearance[2].LegScale 7e-005
Appearance[2].HeadScales 9807394
Appearance[2].BrowScales 13148450
Appearance[2].CheekScales 1121317
Appearance[2].ChinScales 58596
Appearance[2].CraniumScales 10223688
Appearance[2].JawScales 15000774
Appearance[2].NoseScales 12878754
CostumeParts[60].Geom "Tight"
CostumeParts[60].Tex1 "tights"
CostumeParts[60].Tex2 "none"
CostumeParts[60].Color1 170
CostumeParts[60].Color2 170
CostumeParts[60].Region "Lower Body"
CostumeParts[60].BodySet "Tight"
CostumeParts[60].CostumeNum 2
CostumeParts[61].Geom "Tight"
CostumeParts[61].Tex1 "skin_tights"
CostumeParts[61].Tex2 "!Chest_V_Pattern_Shredded_01"
CostumeParts[61].Color1 170
CostumeParts[61].Color2 65023
CostumeParts[61].Region "Upper Body"
CostumeParts[61].BodySet "Tights/Skin"
CostumeParts[61].CostumeNum 2
CostumeParts[62].Geom "V_fem_Head.GEO/GEO_Head_V_Asym_Standard"
CostumeParts[62].Tex1 "!Face_Skin_V_Fem_Head_42"
CostumeParts[62].Tex2 "!V_Face_Mask_8"
CostumeParts[62].Color1 170
CostumeParts[62].Color2 65023
CostumeParts[62].Region "Head"
CostumeParts[62].BodySet "Standard"
CostumeParts[62].CostumeNum 2
CostumeParts[63].Geom "Tied"
CostumeParts[63].Tex1 "skin_tied_01a"
CostumeParts[63].Tex2 "skin_tied_01b"
CostumeParts[63].Color1 5723991
CostumeParts[63].Color2 65023
CostumeParts[63].Region "Upper Body"
CostumeParts[63].BodySet "Tights/Skin"
CostumeParts[63].CostumeNum 2
CostumeParts[64].Geom "Tied"
CostumeParts[64].Tex1 "skin_tied_01a"
CostumeParts[64].Tex2 "skin_tied_01b"
CostumeParts[64].Color1 5723991
CostumeParts[64].Color2 65023
CostumeParts[64].Region "Lower Body"
CostumeParts[64].BodySet "Tight"
CostumeParts[64].CostumeNum 2
CostumeParts[65].Geom "Tail_03"
CostumeParts[65].Tex1 "Tail_01a"
CostumeParts[65].Tex2 "Tail_01b"
CostumeParts[65].Color1 36052
CostumeParts[65].Color2 22015
CostumeParts[65].Region "Upper Body"
CostumeParts[65].BodySet "Tights/Skin"
CostumeParts[65].CostumeNum 2
CostumeParts[66].Geom "Spiky2"
CostumeParts[66].Tex1 "Style_01a"
CostumeParts[66].Tex2 "Style_01b"
CostumeParts[66].Color1 5045759
CostumeParts[66].Color2 22015
CostumeParts[66].Region "Head"
CostumeParts[66].BodySet "Standard"
CostumeParts[66].CostumeNum 2
CostumeParts[68].Geom "Horn_02"
CostumeParts[68].Tex1 "Horn_01a"
CostumeParts[68].Tex2 "Horn_01b"
CostumeParts[68].Color1 5045759
CostumeParts[68].Color2 4177663
CostumeParts[68].Region "Head"
CostumeParts[68].BodySet "Standard"
CostumeParts[68].CostumeNum 2
CostumeParts[69].Geom "Tight"
CostumeParts[69].Tex1 "base"
CostumeParts[69].Tex2 "Comet_02"
CostumeParts[69].Color1 5045759
CostumeParts[69].Color2 28842
CostumeParts[69].Region "Upper Body"
CostumeParts[69].BodySet "Tights/Skin"
CostumeParts[69].CostumeNum 2
CostumeParts[70].Geom "none"
CostumeParts[70].Tex1 "none"
CostumeParts[70].Tex2 "none"
CostumeParts[70].Region "Upper Body"
CostumeParts[70].BodySet "Tights/Skin"
CostumeParts[70].CostumeNum 2
CostumeParts[73].Geom "none"
CostumeParts[73].Tex1 "none"
CostumeParts[73].Tex2 "none"
CostumeParts[73].Region "Head"
CostumeParts[73].BodySet "Standard"
CostumeParts[73].CostumeNum 2
CostumeParts[78].Geom "none"
CostumeParts[78].Tex1 "none"
CostumeParts[78].Tex2 "none"
CostumeParts[78].FxName "Auras/Female/Fire/FireArms&Hair.fx"
CostumeParts[78].Color3 0
CostumeParts[78].Color4 0
CostumeParts[78].Region "Special"
CostumeParts[78].BodySet "Fiery"
CostumeParts[78].CostumeNum 2
CostumeParts[82].Geom "V_FEM_CRANIUM.GEO/GEO_Cranium_V_Pointy_Ears_04"
CostumeParts[82].Tex1 "!face_skin_v_head_06"
CostumeParts[82].Tex2 "none"
CostumeParts[82].Color1 36052
CostumeParts[82].Color2 65023
CostumeParts[82].Region "Head"
CostumeParts[82].BodySet "Standard"
CostumeParts[82].CostumeNum 2
CostumeParts[87].Geom "none"
CostumeParts[87].Tex1 "none"
CostumeParts[87].Tex2 "none"
CostumeParts[87].Region "Lower Body"
CostumeParts[87].BodySet "Tight"
CostumeParts[87].CostumeNum 2
Appearance[3].BodyType 1
Appearance[3].ColorSkin -16745025
Appearance[3].ConvertedScale 1
Appearance[3].BodyScale -3.10535
Appearance[3].BoneScale -1
Appearance[3].ShoulderScale -1
Appearance[3].ChestScale -1
Appearance[3].WaistScale -0.343441
Appearance[3].HipScale -1
Appearance[3].LegScale 7e-005
Appearance[3].HeadScales 9807394
Appearance[3].BrowScales 13148450
Appearance[3].CheekScales 1121317
Appearance[3].ChinScales 58596
Appearance[3].CraniumScales 10223688
Appearance[3].JawScales 15000774
Appearance[3].NoseScales 12878754
CostumeParts[90].Geom "Tight"
CostumeParts[90].Tex1 "tights"
CostumeParts[90].Tex2 "none"
CostumeParts[90].Color1 170
CostumeParts[90].Color2 170
CostumeParts[90].Region "Lower Body"
CostumeParts[90].BodySet "Tight"
CostumeParts[90].CostumeNum 3
CostumeParts[91].Geom "Tight"
CostumeParts[91].Tex1 "skin_tights"
CostumeParts[91].Tex2 "!Chest_V_Pattern_Shredded_01"
CostumeParts[91].Color1 170
CostumeParts[91].Color2 65023
CostumeParts[91].Region "Upper Body"
CostumeParts[91].BodySet "Tights/Skin"
CostumeParts[91].CostumeNum 3
CostumeParts[92].Geom "V_fem_Head.GEO/GEO_Head_V_Asym_Standard"
CostumeParts[92].Tex1 "!Face_Skin_V_Fem_Head_42"
CostumeParts[92].Tex2 "!V_Face_Mask_8"
CostumeParts[92].Color1 170
CostumeParts[92].Color2 65023
CostumeParts[92].Region "Head"
CostumeParts[92].BodySet "Standard"
CostumeParts[92].CostumeNum 3
CostumeParts[93].Geom "Tied"
CostumeParts[93].Tex1 "skin_tied_01a"
CostumeParts[93].Tex2 "skin_tied_01b"
CostumeParts[93].Color1 5723991
CostumeParts[93].Color2 65023
CostumeParts[93].Region "Upper Body"
CostumeParts[93].BodySet "Tights/Skin"
CostumeParts[93].CostumeNum 3
CostumeParts[94].Geom "Tied"
CostumeParts[94].Tex1 "skin_tied_01a"
CostumeParts[94].Tex2 "skin_tied_01b"
CostumeParts[94].Color1 5723991
CostumeParts[94].Color2 65023
CostumeParts[94].Region "Lower Body"
CostumeParts[94].BodySet "Tight"
CostumeParts[94].CostumeNum 3
CostumeParts[95].Geom "Tail_03"
CostumeParts[95].Tex1 "Tail_01a"
CostumeParts[95].Tex2 "Tail_01b"
CostumeParts[95].Color1 36052
CostumeParts[95].Color2 22015
CostumeParts[95].Region "Upper Body"
CostumeParts[95].BodySet "Tights/Skin"
CostumeParts[95].CostumeNum 3
CostumeParts[96].Geom "Spiky2"
CostumeParts[96].Tex1 "Style_01a"
CostumeParts[96].Tex2 "Style_01b"
CostumeParts[96].Color1 5045759
CostumeParts[96].Color2 22015
CostumeParts[96].Region "Head"
CostumeParts[96].BodySet "Standard"
CostumeParts[96].CostumeNum 3
CostumeParts[98].Geom "Horn_02"
CostumeParts[98].Tex1 "Horn_01a"
CostumeParts[98].Tex2 "Horn_01b"
CostumeParts[98].Color1 5045759
CostumeParts[98].Color2 4177663
CostumeParts[98].Region "Head"
CostumeParts[98].BodySet "Standard"
CostumeParts[98].CostumeNum 3
CostumeParts[99].Geom "Tight"
CostumeParts[99].Tex1 "base"
CostumeParts[99].Tex2 "Comet_02"
CostumeParts[99].Color1 5045759
CostumeParts[99].Color2 28842
CostumeParts[99].Region "Upper Body"
CostumeParts[99].BodySet "Tights/Skin"
CostumeParts[99].CostumeNum 3
CostumeParts[100].Geom "none"
CostumeParts[100].Tex1 "none"
CostumeParts[100].Tex2 "none"
CostumeParts[100].Region "Upper Body"
CostumeParts[100].BodySet "Tights/Skin"
CostumeParts[100].CostumeNum 3
CostumeParts[103].Geom "none"
CostumeParts[103].Tex1 "none"
CostumeParts[103].Tex2 "none"
CostumeParts[103].Region "Head"
CostumeParts[103].BodySet "Standard"
CostumeParts[103].CostumeNum 3
CostumeParts[108].Geom "none"
CostumeParts[108].Tex1 "none"
CostumeParts[108].Tex2 "none"
CostumeParts[108].FxName "Auras/Female/Fire/FireBody.fx"
CostumeParts[108].Color3 0
CostumeParts[108].Color4 0
CostumeParts[108].Region "Special"
CostumeParts[108].BodySet "Fiery"
CostumeParts[108].CostumeNum 3
CostumeParts[112].Geom "V_FEM_CRANIUM.GEO/GEO_Cranium_V_Pointy_Ears_04"
CostumeParts[112].Tex1 "!face_skin_v_head_06"
CostumeParts[112].Tex2 "none"
CostumeParts[112].Color1 36052
CostumeParts[112].Color2 65023
CostumeParts[112].Region "Head"
CostumeParts[112].BodySet "Standard"
CostumeParts[112].CostumeNum 3
CostumeParts[117].Geom "none"
CostumeParts[117].Tex1 "none"
CostumeParts[117].Tex2 "none"
CostumeParts[117].Region "Lower Body"
CostumeParts[117].BodySet "Tight"
CostumeParts[117].CostumeNum 3
NumCostumeSlots 3
Gender 3
NameGender 3
Ents2[0].LevelBuild0 49
Powers[0].PowerId 1
Powers[0].CategoryName "temporary_powers"
Powers[0].PowerSetName "accolades"
Powers[0].PowerName "geas_of_the_kind_ones"
Powers[0].CreationTime 611684199
Powers[1].PowerId 2
Powers[1].CategoryName "temporary_powers"
Powers[1].PowerSetName "accolades"
Powers[1].PowerName "task_force_commander"
Powers[1].CreationTime 611684199
Powers[2].PowerId 3
Powers[2].CategoryName "temporary_powers"
Powers[2].PowerSetName "accolades"
Powers[2].PowerName "freedom_phalanx_reserve"
Powers[2].CreationTime 611684199
Powers[3].PowerId 4
Powers[3].CategoryName "temporary_powers"
Powers[3].PowerSetName "accolades"
Powers[3].PowerName "the_atlas_medallion"
Powers[3].CreationTime 611684199
Powers[4].PowerId 5
Powers[4].CategoryName "temporary_powers"
Powers[4].PowerSetName "temporary_powers"
Powers[4].PowerName "brawl_knives"
Powers[4].CreationTime 611684199
Powers[5].PowerId 6
Powers[5].CategoryName "temporary_powers"
Powers[5].PowerSetName "temporary_powers"
Powers[5].PowerName "mayhem_low-g_pack"
Powers[5].CreationTime 611684199
Powers[5].UsageTime 7200
Powers[6].PowerId 7
Powers[6].CategoryName "temporary_powers"
Powers[6].PowerSetName "temporary_powers"
Powers[6].PowerName "mayhem_flight_pack"
Powers[6].CreationTime 611684199
Powers[6].UsageTime 7200
Powers[7].PowerId 8
Powers[7].CategoryName "temporary_powers"
Powers[7].PowerSetName "temporary_powers"
Powers[7].PowerName "mayhem_ir_goggles"
Powers[7].CreationTime 611684199
Powers[7].UsageTime 1800
Powers[8].PowerId 9
Powers[8].CategoryName "temporary_powers"
Powers[8].PowerSetName "temporary_powers"
Powers[8].PowerName "mayhem_stealth_suit"
Powers[8].CreationTime 611684199
Powers[8].UsageTime 1800
Powers[9].PowerId 10
Powers[9].CategoryName "temporary_powers"
Powers[9].PowerSetName "temporary_powers"
Powers[9].PowerName "divining_rod"
Powers[9].CreationTime 611684199
Powers[9].NumCharges 20
Powers[10].PowerId 11
Powers[10].CategoryName "temporary_powers"
Powers[10].PowerSetName "temporary_powers"
Powers[10].PowerName "ourportalhero"
Powers[10].CreationTime 611684199
Powers[11].PowerId 12
Powers[11].CategoryName "temporary_powers"
Powers[11].PowerSetName "temporary_powers"
Powers[11].PowerName "mayhem_smoke_bomb"
Powers[11].CreationTime 611684199
Powers[11].NumCharges 10
Powers[12].PowerId 13
Powers[12].CategoryName "temporary_powers"
Powers[12].PowerSetName "temporary_powers"
Powers[12].PowerName "amys_ward"
Powers[12].CreationTime 611684199
Powers[12].NumCharges 5
Powers[13].PowerId 14
Powers[13].CategoryName "temporary_powers"
Powers[13].PowerSetName "temporary_powers"
Powers[13].PowerName "v_shivan_shard"
Powers[13].CreationTime 611684199
Powers[13].NumCharges 5
Powers[14].PowerId 15
Powers[14].CategoryName "temporary_powers"
Powers[14].PowerSetName "temporary_powers"
Powers[14].PowerName "warburg_nuclear"
Powers[14].CreationTime 611684199
Powers[14].NumCharges 1
Powers[15].PowerId 16
Powers[15].CategoryName "temporary_powers"
Powers[15].PowerSetName "temporary_powers"
Powers[15].PowerName "winter_holiday_spirit"
Powers[15].CreationTime 611684199
Powers[15].AvailableTime 172800
Powers[16].PowerId 17
Powers[16].CategoryName "temporary_powers"
Powers[16].PowerSetName "temporary_powers"
Powers[16].PowerName "build_snowbeast"
Powers[16].CreationTime 611684199
Powers[16].NumCharges 1
Powers[17].PowerId 18
Powers[17].CategoryName "temporary_powers"
Powers[17].PowerSetName "temporary_powers"
Powers[17].PowerName "mayhem_group_recall"
Powers[17].CreationTime 611684199
Powers[17].AvailableTime 86400
Powers[18].PowerId 19
Powers[18].CategoryName "temporary_powers"
Powers[18].PowerSetName "temporary_powers"
Powers[18].PowerName "dimensional_grounding_ray"
Powers[18].CreationTime 611684199
Powers[18].NumCharges 10
Powers[19].PowerId 20
Powers[19].CategoryName "inherent"
Powers[19].PowerSetName "inherent"
Powers[19].PowerName "vanguard_mvas"
Powers[19].CreationTime 611684199
Powers[20].PowerId 21
Powers[20].CategoryName "inherent"
Powers[20].PowerSetName "inherent"
Powers[20].PowerName "mystic_fortune"
Powers[20].CreationTime 611684199
Powers[21].PowerId 22
Powers[21].CategoryName "inherent"
Powers[21].PowerSetName "inherent"
Powers[21].PowerName "secondary_mutation"
Powers[21].CreationTime 611684199
Powers[22].PowerId 23
Powers[22].CategoryName "inherent"
Powers[22].PowerSetName "inherent"
Powers[22].PowerName "shadowy_presence"
Powers[22].CreationTime 611684199
Powers[23].PowerId 24
Powers[23].CategoryName "inherent"
Powers[23].PowerSetName "inherent"
Powers[23].PowerName "vision_phase"
Powers[23].CreationTime 611684199
Powers[24].PowerId 25
Powers[24].CategoryName "inherent"
Powers[24].PowerSetName "inherent"
Powers[24].PowerName "defiance"
Powers[24].CreationTime 611684199
Powers[25].PowerId 26
Powers[25].CategoryName "inherent"
Powers[25].PowerSetName "inherent"
Powers[25].PowerName "walk"
Powers[25].CreationTime 611684199
Powers[26].PowerId 27
Powers[26].CategoryName "inherent"
Powers[26].PowerSetName "inherent"
Powers[26].PowerName "fitness_fix"
Powers[26].CreationTime 611684199
Powers[27].PowerId 28
Powers[27].CategoryName "inherent"
Powers[27].PowerSetName "inherent"
Powers[27].PowerName "brawl"
Powers[27].CreationTime 611684199
Powers[28].PowerId 29
Powers[28].CategoryName "inherent"
Powers[28].PowerSetName "inherent"
Powers[28].PowerName "sprint"
Powers[28].CreationTime 611684199
Powers[29].PowerId 30
Powers[29].CategoryName "inherent"
Powers[29].PowerSetName "inherent"
Powers[29].PowerName "rest"
Powers[29].CreationTime 611684199
Powers[29].PowerLevelBought 1
Powers[30].PowerId 31
Powers[30].CategoryName "blaster_ranged"
Powers[30].PowerSetName "fire_blast"
Powers[30].PowerName "flares"
Powers[30].CreationTime 611684199
Boosts[0].PowerID 31
Boosts[0].CategoryName "Boosts"
Boosts[0].PowerSetName "Crafted_Devastation_C"
Boosts[0].BoostName "Crafted_Devastation_C"
Boosts[0].Level 49
Boosts[1].PowerID 31
Boosts[1].Idx 1
Boosts[1].CategoryName "Boosts"
Boosts[1].PowerSetName "Crafted_Devastation_D"
Boosts[1].BoostName "Crafted_Devastation_D"
Boosts[1].Level 49
Boosts[2].PowerID 31
Boosts[2].Idx 2
Boosts[2].CategoryName "Boosts"
Boosts[2].PowerSetName "Crafted_Devastation_A"
Boosts[2].BoostName "Crafted_Devastation_A"
Boosts[2].Level 49
Boosts[3].PowerID 31
Boosts[3].Idx 3
Boosts[3].CategoryName "Boosts"
Boosts[3].PowerSetName "Crafted_Devastation_E"
Boosts[3].BoostName "Crafted_Devastation_E"
Boosts[3].Level 49
Powers[30].PowerNumBoostsBought 3
Powers[31].PowerId 32
Powers[31].CategoryName "blaster_ranged"
Powers[31].PowerSetName "fire_blast"
Powers[31].PowerName "fire_blast"
Powers[31].CreationTime 611684199
Powers[31].PowerLevelBought 1
Boosts[4].PowerID 32
Boosts[4].CategoryName "Boosts"
Boosts[4].PowerSetName "Crafted_Devastation_D"
Boosts[4].BoostName "Crafted_Devastation_D"
Boosts[4].Level 49
Boosts[5].PowerID 32
Boosts[5].Idx 1
Boosts[5].CategoryName "Boosts"
Boosts[5].PowerSetName "Crafted_Devastation_E"
Boosts[5].BoostName "Crafted_Devastation_E"
Boosts[5].Level 49
Boosts[6].PowerID 32
Boosts[6].Idx 2
Boosts[6].CategoryName "Boosts"
Boosts[6].PowerSetName "Crafted_Devastation_C"
